secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
000822.XSHE,000822,2026-03-26,5245238534.0,5245238534.0,山东海化,XSHE
300622.XSHE,300622,2026-03-26,5249759846.4,3589000773.12,博士眼镜,XSHE
301393.XSHE,301393,2026-03-26,5249880000.0,2046714328.0,昊帆生物,XSHE
002154.XSHE,002154,2026-03-26,5253601680.0,4247181360.0,报喜鸟,XSHE
603408.XSHG,603408,2026-03-26,5258982750.0,5258982750.0,建霖家居,XSHG
002919.XSHE,002919,2026-03-26,5261225214.0,5219023068.0,名臣健康,XSHE
603829.XSHG,603829,2026-03-26,5262020150.0,5262020150.0,洛凯股份,XSHG
603344.XSHG,603344,2026-03-26,5262063550.0,1461538550.0,星德胜,XSHG
000417.XSHE,000417,2026-03-26,5264218350.0,5258435625.0,合百集团,XSHE
688721.XSHG,688721,2026-03-26,5265240000.0,2109428680.0,龙图光罩,XSHG
688101.XSHG,688101,2026-03-26,5265711906.0,5265711906.0,三达膜,XSHG
600237.XSHG,600237,2026-03-26,5266380070.0,5215541930.0,铜峰电子,XSHG
300980.XSHE,300980,2026-03-26,5267187380.0,3751724410.0,祥源新材,XSHE
002322.XSHE,002322,2026-03-26,5267258480.0,5063669677.0,理工能科,XSHE
300869.XSHE,300869,2026-03-26,5267639952.0,3321565332.0,康泰医学,XSHE
002191.XSHE,002191,2026-03-26,5269957167.42,5229071395.68,劲嘉股份,XSHE
002923.XSHE,002923,2026-03-26,5271220542.0,4062254752.0,润都股份,XSHE
002564.XSHE,002564,2026-03-26,5273673630.0,5273673630.0,天沃科技,XSHE
000655.XSHE,000655,2026-03-26,5274714172.0,5274714172.0,金岭矿业,XSHE
601002.XSHG,601002,2026-03-26,5278057071.0,5278057071.0,晋亿实业,XSHG
000593.XSHE,000593,2026-03-26,5282634630.0,5280457536.0,德龙汇能,XSHE
688079.XSHG,688079,2026-03-26,5286258430.15,5194176358.15,美迪凯,XSHG
300793.XSHE,300793,2026-03-26,5289581060.0,5172007910.0,佳禾智能,XSHE
600495.XSHG,600495,2026-03-26,5291876142.0,5291876142.0,晋西车轴,XSHG
301085.XSHE,301085,2026-03-26,5293311600.0,3593613700.0,亚康股份,XSHE
003036.XSHE,003036,2026-03-26,5298639500.0,5298502300.0,泰坦股份,XSHE
600881.XSHG,600881,2026-03-26,5300727640.0,5300727640.0,亚泰集团,XSHG
301168.XSHE,301168,2026-03-26,5304000000.0,4212847860.0,通灵股份,XSHE
603365.XSHG,603365,2026-03-26,5307675186.0,5253202506.0,水星家纺,XSHG
